,FCLTY_NM,LCLAS_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,lat,lon,OPTN_DC,ADIT_DC,AREA
644,연남동 끄트머리,일반서점,3979.0,서울특별시 마포구 성미산로23길 74,37.56633028,126.9197666,"전시, 원데이클래스 진행",카페 : 있음,서울
645,책방 곱셈,독립서점,3979.0,서울특별시 마포구 성미산로29길 33 1층,37.56533056,126.9217846,출판관계자 및 디자이너 영감 도서,카페 : 있음,서울
646,사이에,일반서점,3980.0,서울특별시 마포구 성미산로31길 13 2층,37.56462575,126.9255188,여행 전문 서점,카페 : 있음,서울
647,동네책방개똥이네책놀이터,일반서점,3969.0,서울특별시 마포구 성미산로3나길 16,37.56020031,126.9086724,아이와 부모가 함께 책 읽는 문화를 만들고자 함,카페 : 있음,서울
648,디벙크,카페,4072.0,서울특별시 마포구 성지1길 30 더보이드빌딩 지하1층,37.56084873,126.9227807,"문화와 예술의 공간, 따뜻한 휴식의 공간, 좋은사람들이 만나 멋진 이야기와 생각을 나누는 공간","화장실 남녀구분 : 구분, 카페 : 있음",서울
649,단편집,북카페,4056.0,서울특별시 마포구 신촌로4길 5-25,37.56291194,126.9209821,독서활동 장소,"화장실 남녀구분 : 구분, 카페 : 있음",서울
650,에디토리얼카페비플러스,북카페,4043.0,서울특별시 마포구 양화로12길 16-12 찬홍,37.54565625,126.9227224,"합정북카페, 비플러스만의 커피와 음료, 핸드메이드 디저트, 특별하고 진한 밀크티, 세계맥주","주차 : 가능, 카페 : 있음",서울
651,놀숲플러스 홍대점,만화방,4039.0,서울특별시 마포구 양화로16길 29 B1,37.55344175,126.9557117,"24시간을 운영하는 프리미엄 복합문화공간, 150평 규모의 공간 기획과 편의시설을 구비","화장실 남녀구분 : 구분, 카페 : 있음",서울
652,카페 본주르,카페,3994.0,서울특별시 마포구 양화로21길 23 2층,37.55003652,126.9173805,"동료 예술가들이 함께 모여 만든 카페 & 아트샵""",카페 : 있음,서울
653,땡스북스,일반서점,4047.0,서울특별시 마포구 양화로6길 57-6,37.54885813,126.9176876,큐레이션 서점,"화장실 남녀구분 : 구분, 카페 : 있음",서울
654,청춘124 R&D센터,카페,4035.0,서울특별시 마포구 양화로7길 44-7 1층 청춘124 개발실,37.55385098,126.9227859,"1년 12달, 4계절 맛있는 커피와 음료를 제공, 메뉴의 연구 및 개발 센터로 개발메뉴 시음 및 다양한 이벤트 제공",카페 : 있음,서울
655,이마녀 중국어 수프,일반서점,4047.0,서울특별시 마포구 어울마당로5길 52 2층,37.55007707,126.9179642,"중국원서, 중국과 관련된 다양한 도서를 판매하는 중국 전문 서점",카페 : 있음,서울
656,카페책속의한줄,북카페,3988.0,서울특별시 마포구 연남로3길 22-15,37.54724873,126.9330429,독서활동 장소,카페 : 있음,서울
657,산책경의선숲길,카페,3982.0,서울특별시 마포구 연희로1길 43 1층 101호,37.5568502,126.9089033,독서활동 장소,카페 : 있음,서울
658,도화서가 홍대점,북카페,4054.0,서울특별시 마포구 와우산로 111 3층,37.54791169,126.9151216,"음료를 마시며, 그림을 그리고, 책을 보며 이야기와 사랑이 싹트는 공간","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
659,만화살롱 유어마나,북카페,4049.0,서울특별시 마포구 와우산로 13 B1,37.55206271,126.9369738,"복합만화공간, 풍미 가득한 커피와 부드럽고 달콤한 쿠키, 수제 맥주를 즐길 수 있음""",카페 : 있음,서울
660,딩굴딩굴,북카페,4052.0,서울특별시 마포구 와우산로 151,37.55549237,126.9259935,"홍대에서 가장 넓고 가장 편안한 굴이 50개, 40000권의 만화책, 부담없이 즐길 수 있는 카페 메뉴들","화장실 남녀구분 : 구분, 카페 : 있음",서울
661,gaga77page,일반서점,4049.0,서울특별시 마포구 와우산로15길 50 2층,37.54873387,126.9208468,북토크와 공연 맥주와 커피 그리고 책,카페 : 있음,서울
662,북카페 리벤,북카페,4054.0,서울특별시 마포구 와우산로23길 18-8,37.5669186,126.9018209,카톨릭계열 카페,카페 : 있음,서울
