ANALS_TRGET_YEAR,ANALS_TRGET_MT,AGE_FLAG_NM,KWRD_RANK_CO,KWRD_NM,FQ_CO
"2021","12","50대","6","시작","1553"
"2021","12","50대","7","주식","1507"
"2021","12","50대","8","생각","1481"
"2021","12","50대","9","마음","1304"
"2021","12","50대","10","사랑","1263"
"2021","12","50대","11","시대","1203"
"2021","12","50대","12","이유","1191"
"2021","12","50대","13","방법","1187"
"2021","12","50대","14","독자","1161"
"2021","12","50대","15","미국","1079"
"2021","12","50대","16","시간","1016"
"2021","12","50대","17","행복","968"
"2021","12","50대","18","인간","935"
"2021","12","50대","19","세상","932"
"2021","12","50대","20","한국","881"
"2021","12","50대","21","부자","880"
"2021","12","50대","22","부동산","869"
"2021","12","50대","23","역사","864"
"2021","12","50대","24","사회","860"
"2021","12","50대","25","최고","856"
"2021","12","50대","26","미래","843"
"2021","12","50대","27","공부","834"
"2021","12","50대","28","가지","833"
"2021","12","50대","29","기업","819"
"2021","12","50대","30","필요","808"
"2021","12","50대","31","일본","784"
"2021","12","50대","32","시장","780"
"2021","12","50대","33","누구","773"
"2021","12","50대","34","문제","736"
"2021","12","50대","35","투자자","717"
"2021","12","50대","36","전략","708"
"2021","12","50대","37","변화","697"
"2021","12","50대","38","경제","693"
"2021","12","50대","39","질문","683"
"2021","12","50대","40","이해","661"
"2021","12","50대","41","성공","654"
"2021","12","50대","41","베스트셀러","654"
"2021","12","50대","43","다양","610"
"2021","12","50대","44","분석","567"
"2021","12","50대","45","존재","556"
"2021","12","50대","46","토지","554"
"2021","12","50대","47","의미","543"
"2021","12","50대","48","경험","522"
"2021","12","50대","48","기회","522"
"2021","12","50대","48","선택","522"
"2021","12","50대","51","주식투자","510"
"2021","12","50대","52","관계","502"
"2021","12","50대","53","죽음","487"
"2021","12","50대","54","매매","484"
"2021","12","50대","55","기술","475"
"2021","12","50대","56","가치","472"
"2021","12","50대","57","사건","461"
"2021","12","50대","57","수익","461"
"2021","12","50대","59","활동","460"
"2021","12","50대","60","현실","452"
"2021","12","50대","61","교수","448"
"2021","12","50대","62","사실","442"
"2021","12","50대","63","여행","439"
"2021","12","50대","64","장편소설","432"
"2021","12","50대","65","비밀","431"
"2021","12","50대","66","감정","429"
"2021","12","50대","66","성장","429"
"2021","12","50대","68","중국","426"
"2021","12","50대","69","모습","424"
"2021","12","50대","70","과정","420"
"2021","12","50대","71","대한민국","417"
"2021","12","50대","72","대표","413"
"2021","12","50대","73","위기","404"
"2021","12","50대","74","기억","402"
"2021","12","50대","75","이번","401"
"2021","12","50대","75","전문가","401"
"2021","12","50대","77","이름","397"
"2021","12","50대","78","일상","386"
"2021","12","50대","79","고민","385"
"2021","12","50대","79","마지막","385"
"2021","12","50대","81","시절","380"
"2021","12","50대","82","수상","377"
