,LBRRY_NM,LBRRY_ADDR,lat,lon,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_NM
292,대산도서관,충청남도 서산시 대산읍 대산1로 78-22,36.9401513,126.4396125,충청남도,서산시,공공
293,인지작은도서관,충청남도 서산시 인지면 둔당로 74-21,36.75337,126.4247,충청남도,서산시,작은
294,고북작은도서관,충청남도 서산시 고북면 고북1로 294,36.667254,126.533492,충청남도,서산시,작은
295,부석작은도서관,충청남도 서산시 부석면 취평2길 26-13,36.715289,126.394067,충청남도,서산시,작은
296,광주 서구 상록도서관,광주광역시 서구 상무대로1171번길 11,35.1551865,126.8889039,광주광역시,서구,공공
297,광주 서구 어린이생태학습도서관,광주광역시 서구 풍암공원로 8,35.1297987,126.8818583,광주광역시,서구,공공
298,광주 서구 공공도서관,광주광역시 서구 마재로 3,35.1308667,126.8603824,광주광역시,서구,공공
299,거창군립한마음도서관,경상남도 거창군 거창읍 거열로6길 11,35.6891619,127.9037437,경상남도,거창군,공공
300,국립세종도서관,세종특별자치시 다솜3로 48,36.4989631,127.268342,세종특별자치시,도담동,공공
301,제천시립도서관,충청북도 제천시 내제로 318,37.145074,128.220288,충청북도,제천시,공공
302,안산시 중앙도서관,경기도 안산시 단원구 안산천남로 14,37.3044036,126.8212469,경기도,안산시 단원구,공공
303,안산시 일동도서관,경기도 안산시 상록구 구룡로 71,37.3154155,126.8717236,경기도,안산시 상록구,공공
304,안산시 관산도서관,경기도 안산시 단원구 관산길 29,37.3321319,126.7995588,경기도,안산시 단원구,공공
305,안산시 성포도서관,경기도 안산시 상록구 충장로 528,37.3251788,126.8503406,경기도,안산시 상록구,공공
306,안산시 감골도서관,경기도 안산시 상록구 감골공원안길 16-1,37.2926167,126.8544536,경기도,안산시 상록구,공공
307,안산시 단원어린이도서관,경기도 안산시 단원구 화정로 30,37.3311927,126.8161013,경기도,안산시 단원구,공공
308,안산시 상록어린이도서관,경기도 안산시 상록구 구룡체육관로 45,37.3073887,126.8633133,경기도,안산시 상록구,공공
309,다문화작은도서관,경기도 안산시 단원구 부부로 43,37.332383,126.790301,경기도,안산시 단원구,작은
310,안산시 반월도서관,경기도 안산시 상록구 반월새싹길 39-3,37.304155,126.900016,경기도,안산시 상록구,공공
311,신길샛별도서관,경기도 안산시 단원구 새뿔길 67,37.3377496,126.7775478,경기도,안산시 단원구,작은
312,사2동 꿈을키우는도서관,경기도 안산시 상록구 영화5길 15,37.27974,126.8511,경기도,안산시 상록구,작은
313,안산시 부곡도서관,경기도 안산시 상록구 성호로 333,37.3326644,126.8608588,경기도,안산시 상록구,공공
314,석수골작은도서관,경기도 안산시 단원구 석수로9길 20,37.3465693,126.8039588,경기도,안산시 단원구,작은
315,선부3동선녀마을작은도서관,경기도 안산시 단원구 우목골길 7-15,37.3425683,126.8130929,경기도,안산시 단원구,작은
316,안산미디어라이브러리,경기도 안산시 단원구 광덕1로 198,37.307187,126.8312518,경기도,안산시 단원구,공공
317,안산시 원고잔도서관,경기도 안산시 단원구 원고잔공원로 33,37.3245985,126.8247479,경기도,안산시 단원구,공공
318,안산시평생학습관작은도서관,경기도 안산시 상록구 차돌배기로 24-1,37.29905,126.84641,경기도,안산시 상록구,작은
319,본오3동만화작은도서관,경기도 안산시 상록구 각골로7길 9,37.30082,126.87444,경기도,안산시 상록구,작은
320,사3동작은도서관,경기도 안산시 상록구 해양로 8,37.29469,126.82009,경기도,안산시 상록구,작은
321,안산시 수암도서관,경기도 안산시 상록구 원당골1길 23-3,37.36182,126.87322,경기도,안산시 상록구,공공
322,본오1동작은도서관,경기도 안산시 상록구 오목로7길 15,37.2892326,126.8644237,경기도,안산시 상록구,작은
323,안산시 본오도서관,경기도 안산시 상록구 각골로 49,37.2939804,126.8723016,경기도,안산시 상록구,공공
324,안산시 선부도서관,경기도 안산시 단원구 선부로 100,37.3411073,126.8061847,경기도,안산시 단원구,공공
325,와동별빛누리작은도서관,경기도 안산시 단원구 와동로 118,37.34059,126.82726,경기도,안산시 단원구,작은
326,와동책읽는방작은도서관,경기도 안산시 단원구 화정천동로2길 38-1,37.3428564,126.8228153,경기도,안산시 단원구,작은
327,안산시 대부도서관,경기도 안산시 단원구 대남로 30,37.2405386,126.5829946,경기도,안산시 단원구,공공
328,당곡작은도서관,경기도 안산시 단원구 예술대학로 76,37.3237954,126.8375919,경기도,안산시 단원구,작은
329,영천시립도서관,경상북도 영천시 중앙동1길 80,35.9754243,128.932787,경상북도,영천시,공공
330,관악중앙도서관,서울특별시 관악구 신림로3길 35,37.4671252,126.9448168,서울특별시,관악구,공공
