,월,지역,연령,성별,회원수,대출건수,독서량
269,1,제주특별자치도,60대이상,여자,3342,467,7.156
270,1,충청남도,영유아(0-5),남자,3844,421,9.131
271,1,충청남도,영유아(0-5),여자,3868,397,9.743
272,1,충청남도,유아(6-7),남자,6084,594,10.242
273,1,충청남도,유아(6-7),여자,5367,541,9.921
274,1,충청남도,초등(8-13),남자,26271,2508,10.475
275,1,충청남도,초등(8-13),여자,26932,2625,10.26
276,1,충청남도,청소년(14-19),남자,6844,1326,5.161
277,1,충청남도,청소년(14-19),여자,10724,2096,5.116
278,1,충청남도,20대,남자,4220,976,4.324
279,1,충청남도,20대,여자,8193,1952,4.197
280,1,충청남도,30대,남자,13487,1855,7.271
281,1,충청남도,30대,여자,43875,5067,8.659
282,1,충청남도,40대,남자,32499,3820,8.508
283,1,충청남도,40대,여자,52500,6448,8.142
284,1,충청남도,50대,남자,8945,1473,6.073
285,1,충청남도,50대,여자,9664,1658,5.829
286,1,충청남도,60대이상,남자,6952,898,7.742
287,1,충청남도,60대이상,여자,3737,557,6.709
288,1,충청북도,영유아(0-5),남자,3922,270,14.526
289,1,충청북도,영유아(0-5),여자,3548,264,13.439
290,1,충청북도,유아(6-7),남자,5365,422,12.713
291,1,충청북도,유아(6-7),여자,4551,380,11.976
292,1,충청북도,초등(8-13),남자,23993,2209,10.861
293,1,충청북도,초등(8-13),여자,23976,2214,10.829
294,1,충청북도,청소년(14-19),남자,6384,1248,5.115
295,1,충청북도,청소년(14-19),여자,11073,2191,5.054
296,1,충청북도,20대,남자,5353,1096,4.884
297,1,충청북도,20대,여자,10562,2018,5.234
298,1,충청북도,30대,남자,13757,1605,8.571
299,1,충청북도,30대,여자,44644,4370,10.216
300,1,충청북도,40대,남자,29441,3079,9.562
301,1,충청북도,40대,여자,50754,5558,9.132
302,1,충청북도,50대,남자,9829,1360,7.227
303,1,충청북도,50대,여자,11352,1679,6.761
304,1,충청북도,60대이상,남자,8362,1067,7.837
305,1,충청북도,60대이상,여자,6500,765,8.497
306,2,강원도,영유아(0-5),남자,1317,179,7.358
307,2,강원도,영유아(0-5),여자,1021,142,7.19
308,2,강원도,유아(6-7),남자,1733,221,7.842
309,2,강원도,유아(6-7),여자,1462,195,7.497
310,2,강원도,초등(8-13),남자,10163,1322,7.688
